storage_variant,trigger_variant,disturbance_family,severity,horizon,episode_count,completion_mean,progress_mean,repeated_failures_mean,false_triggers_mean,late_trigger_ticks_mean,wasted_triggers_mean,semantic_wakes_mean,motion_wakes_mean,control_wakes_mean,semantic_latency_proxy_ms_mean,motion_latency_proxy_ms_mean,control_latency_proxy_ms_mean,trigger_latency_ticks_mean_mean,stale_decisions_mean,retries_mean,escalations_mean,aborts_mean,storage_reads_mean,storage_writes_mean,storage_bytes_mean,storage_age_ticks_mean,budget_cost_proxy_mean
EPISODIC_ONLY,NO_REPLAN,CONTROL_FAILURE,LOW,4,20,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.23079,0.12,0.04,0.0,0.0,1.0,0.0,0.0,1.0,1.0,79.0,3.0,16.127148
EPISODIC_ONLY,NO_REPLAN,CONTROL_FAILURE,LOW,8,20,1.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.23079,0.12,0.04,0.0,0.0,1.0,0.0,0.0,1.0,1.0,79.0,5.0,16.127148
EPISODIC_ONLY,NO_REPLAN,CONTROL_FAILURE,LOW,12,20,1.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,1.0,0.23079,0.12,0.04,0.0,0.0,1.0,0.0,0.0,1.0,1.0,79.0,7.0,16.127148
EPISODIC_ONLY,NO_REPLAN,POSE_SHIFT,HIGH,4,20,0.0,0.25,6.0,0.0,7.0,0.0,1.0,1.0,7.0,0.2362665,0.12,0.28,0.0,7.0,7.0,0.0,1.0,1.0,8.0,626.65,0.0,28.66196295
EPISODIC_ONLY,NO_REPLAN,POSE_SHIFT,HIGH,8,20,0.0,0.375,8.0,0.0,9.0,0.0,1.0,1.0,9.0,0.2378365,0.12,0.36,0.0,9.0,9.0,0.0,1.0,1.0,10.0,783.65,0.0,32.81528315
EPISODIC_ONLY,NO_REPLAN,POSE_SHIFT,HIGH,12,20,0.0,0.416667,10.0,0.0,11.0,0.0,1.0,1.0,11.0,0.2394165,0.12,0.44,0.0,11.0,11.0,0.0,1.0,1.0,12.0,941.65,0.0,36.96957995
EPISODIC_ONLY,NO_REPLAN,POSE_SHIFT,LOW,4,20,0.0,0.25,6.0,0.0,7.0,0.0,1.0,1.0,7.0,0.2362645,0.12,0.28,0.0,7.0,7.0,0.0,1.0,1.0,8.0,626.45,0.0,28.6617677
EPISODIC_ONLY,NO_REPLAN,POSE_SHIFT,LOW,8,20,0.0,0.375,8.0,0.0,9.0,0.0,1.0,1.0,9.0,0.2378345,0.12,0.36,0.0,9.0,9.0,0.0,1.0,1.0,10.0,783.45,0.0,32.8150877
EPISODIC_ONLY,NO_REPLAN,POSE_SHIFT,LOW,12,20,0.0,0.416667,10.0,0.0,11.0,0.0,1.0,1.0,11.0,0.2394145,0.12,0.44,0.0,11.0,11.0,0.0,1.0,1.0,12.0,941.45,0.0,36.9693847
EPISODIC_ONLY,NO_REPLAN,RESTRICTION_CHANGE,HIGH,4,20,0.0,0.25,6.0,0.0,7.0,0.0,1.0,1.0,7.0,0.23693,0.12,0.28,0.0,7.0,7.0,0.0,1.0,1.0,9.0,693.0,0.0,28.726758
