disturbance_family,effect_id,effective_seed_n,estimate,metric
RESTRICTION_CHANGE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.42916667,completion
RESTRICTION_CHANGE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,3.42083333,progress
RESTRICTION_CHANGE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,2.77916667,cost_proxy
CONTROL_FAILURE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.0,completion
CONTROL_FAILURE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.0,progress
CONTROL_FAILURE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,8.59444444,cost_proxy
POSE_SHIFT,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.06666667,completion
POSE_SHIFT,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.60833333,progress
POSE_SHIFT,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-16.56388889,cost_proxy
AVAILABILITY_LOSS,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.06666667,completion
