episode_id,seed,condition,controller,detection_correct,detection_present,localization_error_m,task_complete,collision_free,safe_completion,goal_error_m,obstacle_contacts,replans,retries,semantic_wakes,path_length_m,ticks
seed-5110-opaque-rgb_only,5110,OPAQUE,RGB_ONLY,True,True,0.01659184693669591,True,True,True,0.09836467971143215,0,0,0,0,2.5738798892508257,274
seed-5110-opaque-rgbd_motion,5110,OPAQUE,RGBD_MOTION,True,True,0.0037730525941512376,True,True,True,0.0993734866515275,0,0,0,0,2.5726379960794064,274
seed-5110-opaque-hierarchical,5110,OPAQUE,HIERARCHICAL,True,True,0.0037730525941512376,True,True,True,0.0993734866515275,0,0,0,0,2.5726379960794064,274
seed-5110-transparent-rgb_only,5110,TRANSPARENT,RGB_ONLY,False,False,,False,False,False,1.325206097889818,264,0,0,0,1.1301775987953155,300
seed-5110-transparent-rgbd_motion,5110,TRANSPARENT,RGBD_MOTION,True,True,0.0037730525941512376,True,True,True,0.0993734866515275,0,0,0,0,2.5726379960794064,274
seed-5110-transparent-hierarchical,5110,TRANSPARENT,HIERARCHICAL,True,True,0.0037730525941512376,True,True,True,0.0993734866515275,0,0,0,0,2.5726379960794064,274
seed-5111-no_obstacle-rgb_only,5111,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09789989262028691,0,0,0,0,2.303273285087058,134
seed-5111-no_obstacle-rgbd_motion,5111,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09789989262028691,0,0,0,0,2.303273285087058,134
seed-5111-no_obstacle-hierarchical,5111,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09789989262028691,0,0,0,0,2.303273285087058,134
seed-5111-opaque-rgb_only,5111,OPAQUE,RGB_ONLY,True,True,0.015129893709892601,True,True,True,0.09969696597074558,0,0,0,0,2.545780119228872,272
seed-5111-opaque-rgbd_motion,5111,OPAQUE,RGBD_MOTION,True,True,0.015129893709892601,True,True,True,0.09969696597074558,0,0,0,0,2.545780119228872,272
seed-5111-opaque-hierarchical,5111,OPAQUE,HIERARCHICAL,True,True,0.015129893709892601,True,True,True,0.09969696597074558,0,0,0,0,2.545780119228872,272
seed-5111-transparent-rgb_only,5111,TRANSPARENT,RGB_ONLY,False,False,,False,False,False,1.475453520429465,269,0,0,0,0.9391593300898586,300
seed-5111-transparent-rgbd_motion,5111,TRANSPARENT,RGBD_MOTION,True,True,0.015129893709892601,True,True,True,0.09969696597074558,0,0,0,0,2.545780119228872,272
seed-5111-transparent-hierarchical,5111,TRANSPARENT,HIERARCHICAL,True,True,0.015129893709892601,True,True,True,0.09969696597074558,0,0,0,0,2.545780119228872,272
seed-5112-no_obstacle-rgb_only,5112,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09786385411615671,0,0,0,0,2.3021424358874136,134
seed-5112-no_obstacle-rgbd_motion,5112,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09786385411615671,0,0,0,0,2.3021424358874136,134
seed-5112-no_obstacle-hierarchical,5112,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09786385411615671,0,0,0,0,2.3021424358874136,134
seed-5112-opaque-rgb_only,5112,OPAQUE,RGB_ONLY,True,True,0.015156978511854774,True,True,True,0.09984232862546233,0,0,0,0,2.567612458690021,273
seed-5112-opaque-rgbd_motion,5112,OPAQUE,RGBD_MOTION,True,True,0.0056381800346817085,True,True,True,0.0988931700512057,0,0,0,0,2.568557257821514,274
seed-5112-opaque-hierarchical,5112,OPAQUE,HIERARCHICAL,True,True,0.0056381800346817085,True,True,True,0.0988931700512057,0,0,0,0,2.568557257821514,274
seed-5112-transparent-rgb_only,5112,TRANSPARENT,RGB_ONLY,False,False,,False,False,False,1.4498753928796022,268,0,0,0,0.9791192246774405,300
seed-5112-transparent-rgbd_motion,5112,TRANSPARENT,RGBD_MOTION,True,True,0.0056381800346817085,True,True,True,0.0988931700512057,0,0,0,0,2.568557257821514,274
seed-5112-transparent-hierarchical,5112,TRANSPARENT,HIERARCHICAL,True,True,0.0056381800346817085,True,True,True,0.0988931700512057,0,0,0,0,2.568557257821514,274
