comparison_metric,seed,member_count,cluster_mean,members_json
R3-R2:mission_success,20262101,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262102,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262103,10,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262104,11,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262105,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262106,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262107,9,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262108,11,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262109,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262110,10,-0.1,"[0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:safety_composite,20262101,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:safety_composite,20262102,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:safety_composite,20262103,10,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:safety_composite,20262104,11,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:safety_composite,20262105,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:safety_composite,20262106,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:safety_composite,20262107,9,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:safety_composite,20262108,11,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:safety_composite,20262109,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:safety_composite,20262110,10,0.1,"[0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:progress,20262101,12,6.045043742427166e-08,"[4.638712387539101e-07,1.7054036594021937e-07,0.0,-5.6070198706237306e-08,0.0,0.0,0.0,0.0,1.2171394891957732e-08,1.7278885433569258e-08,9.072419038247403e-08,2.6889372395366706e-08]"
R3-R2:progress,20262102,12,1.6077562790354587e-08,"[-1.0837287511833438e-08,2.476370143389417e-07,0.0,-2.2276503985896312e-07,0.0,0.0,0.0,0.0,8.50643733230072e-08,1.7242106409298685e-08,4.217499771641542e-08,3.441458906738859e-08]"
R3-R2:progress,20262103,10,3.732924376276259e-08,"[-3.131867402084154e-07,2.8009281638485817e-07,0.0,3.225520559535511e-07,0.0,0.0,0.0,1.0663562255430747e-08,6.40127262307999e-08,9.158017011401398e-09]"
R3-R2:progress,20262104,11,7.660467693515471e-08,"[3.968290951394948e-07,4.5548805183148744e-07,0.0,-1.2381569458597141e-07,0.0,0.0,0.0,0.0,5.809761638442268e-08,2.8809308272315093e-08,2.7243069244953233e-08]"
